Filename,Caption,Detected Objects
About_20_years_ago_a_janitor_hung_him_self_in_the.png,a man riding a snowboard down a snow covered slope .,"suit, suit of clothes (0.43), groom, bridegroom (0.07), spotlight, spot (0.06), umbrella (0.05), window screen (0.03)"
About_33_years_ago__at_a_old_school_called_Berwyn.png,a black and white photo of a city street,"cinema, movie theater, movie theatre, movie house, picture palace (0.57), mosque (0.14), triumphal arch (0.03), library (0.03), vault (0.02)"
About_3_years_ago_around_exam_week__a_young_man_st.png,a book shelf filled with lots of books .,"bookcase (0.47), library (0.35), bookshop, bookstore, bookstall (0.12), comic book (0.02)"
About_50_years_ago_there_were_some_teens_out_at_th.png,a person walking down a street with a umbrella .,"mailbox, letter box (0.16), park bench (0.10), lakeside, lakeshore (0.09), crutch (0.06), parking meter (0.06)"
About_50_years_ago_when_the_school_was_being_built.png,a black and white photo of a bathroom,"prison, prison house (0.90)"
About_forty_years_ago_a_little_girl_fell_off_the_c.png,a train traveling over a bridge over a river .,"viaduct (0.39), pier (0.29), steel arch bridge (0.13), suspension bridge (0.03), dam, dike, dyke (0.02)"
About_two_weeks_ago_February_2_20_04__around_10_00.png,a black and white photo of a bathroom .,"sliding door (0.41), prison, prison house (0.07), washbasin, handbasin, washbowl, lavabo, wash-hand basin (0.06), wardrobe, closet, press (0.04), shoji (0.04)"
Above_a_local_hardware_store__the_owner_has_three.png,a room filled with lots of furniture and a window .,"tobacco shop, tobacconist shop, tobacconist (0.34), bakery, bakeshop, bakehouse (0.26), bookshop, bookstore, bookstall (0.08), barbershop (0.02), restaurant, eating house, eating place, eatery (0.02)"
According_to_legend__this_castle_was_built_in_1890.png,a large building with a clock tower on top .,castle (0.96)
Ada_witch___Sometimes_you_can_see_a_misty_blue_fig.png,a group of people standing on top of a lush green field .,"mailbox, letter box (0.23), park bench (0.13), West Highland white terrier (0.10), ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin (0.09), picket fence, paling (0.05)"
Adobe_Compound___Purchased_from_the_Mexican_govern.png,a man sitting on a bench in front of a building .,"boathouse (0.75), palace (0.05), lakeside, lakeshore (0.04)"
After_a_basketball_game_a_kid_fell_down_4_flights.png,a large clock mounted to the side of a building .,"vault (0.45), church, church building (0.20), monastery (0.07), altar (0.06), palace (0.06)"
after_bell_rings_you_see_a_kid_in_60_or_70s_clothe.png,a woman standing in a kitchen next to a refrigerator .,"sliding door (0.27), cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM (0.21), refrigerator, icebox (0.20), washer, automatic washer, washing machine (0.07)"
After_employees_lock_up_for_the_night__lights_star.png,a bathroom with a sink and a mirror,"prison, prison house (0.82), shoji (0.02)"
After_School_hours__students_and_staff_have_seen_t.png,a bathroom with a toilet and a sink,"padlock (0.82), combination lock (0.13)"
After_shutting_off_lights_in_the_bar_for_the_eveni.png,a kitchen with a table and chairs in it,"restaurant, eating house, eating place, eatery (0.84), slot, one-armed bandit (0.07), dining table, board (0.02)"
After_the_Park_closed_in_1986__it_lay_abandoned__S.png,a black and white photo of a street sign,"park bench (0.19), stretcher (0.18), fire screen, fireguard (0.06), folding chair (0.05), palace (0.05)"
after_the_road_dips_down_a_small_hill__if_you_stop.png,a red fire hydrant sitting on the side of a road .,"mountain bike, all-terrain bike, off-roader (0.09), bison (0.06), viaduct (0.04), unicycle, monocycle (0.04), valley, vale (0.03)"
Allegheny_Center__Building__7___It_has_a_documente.png,a large building with a clock on the front of it .,"library (0.67), window screen (0.08), window shade (0.07), palace (0.04), flagpole, flagstaff (0.03)"
Allen_s_farm_has_an_annual__Allen_s_Haunted_Hayrid.png,a group of cows grazing in a field .,barn (0.92)
All_of_the_buildings_at_the_hospital_are_old_and_s.png,a large clock tower towering over a city .,"palace (0.59), prison, prison house (0.09), monastery (0.09), castle (0.06)"
All_year_round__but_mainly_in_the_Fall_and_Winter_.png,a red fire hydrant sitting in the middle of a field .,cloak (0.92)
Almshouse_Rd__and_Rt__611__The_complex_was_used_as.png,a black and white photo of a street corner,"church, church building (0.85), barn (0.04)"
Along_a_road_in_Independence_Twp__in_Beaver_county.png,a train traveling through a lush green countryside .,"dam, dike, dyke (0.49), boathouse (0.17), barn (0.15), lakeside, lakeshore (0.03), valley, vale (0.03)"
Along_time_ago__there_was_a_lady_who_lived_2_miles.png,a red and white fire hydrant sitting in the middle of a field .,"church, church building (0.83), barn (0.05), bell cote, bell cot (0.03), boathouse (0.02)"
ALPHA_OMEGA_WING___small_child_with_a_red_ball_in.png,a black and white photo of a woman in a bathroom,"wardrobe, closet, press (0.14), sliding door (0.11), gown (0.07), television, television system (0.03), shower curtain (0.03)"
Alpha_Sigma_Tau_Sorority_House___The_story_goes_th.png,a room with a bed and a window,"bannister, banister, balustrade, balusters, handrail (0.94), coil, spiral, volute, whorl, helix (0.03)"
Althaugh_the_home_is_owned_by_new_owners_now__the.png,a red fire hydrant in front of a house .,"beacon, lighthouse, beacon light, pharos (0.22), picket fence, paling (0.19), palace (0.08), church, church building (0.07), prison, prison house (0.04)"
Alumni_Hall___Aside_from_the_abnormal_creaks_in_th.png,a bathroom with a sink and a mirror,"prison, prison house (0.64), shoji (0.03), library (0.03), sliding door (0.02)"
Alumni_Hall___James_Naismith__inventor_of_basketba.png,a black and white photo of a living room .,"cinema, movie theater, movie theatre, movie house, picture palace (0.34), television, television system (0.09), home theater, home theatre (0.06), prison, prison house (0.05), microwave, microwave oven (0.03)"
always_had_spiritual_activity_in_the_gym_stage_are.png,a room filled with lots of furniture and a tv .,"library (0.75), folding chair (0.05), shoe shop, shoe-shop, shoe store (0.04), dumbbell (0.03), restaurant, eating house, eating place, eatery (0.02)"
American_Indian_spirits_are_seen_in_areas_adjacent.png,a baseball field with a baseball field in the background .,"worm fence, snake fence, snake-rail fence, Virginia fence (0.86), barn (0.03), rapeseed (0.02)"
Amity_Hall_Hotel___Amity_Hall___There_was_a_young.png,a building with a clock tower on top of it .,"picket fence, paling (0.86), flagpole, flagstaff (0.07)"
Anchor_Blue___There_is_a_ghost_in_the_stockroom__i.png,a room filled with lots of different types of luggage .,"library (0.78), bookshop, bookstore, bookstall (0.03), grocery store, grocery, food market, market (0.02)"
Ancient_Indian_Burial_Grounds_that_have_been_built.png,a black and white photo of a building with a clock tower .,"barn (0.79), boathouse (0.05)"
Angel_Lake___At_one_time_there_was_an_old_slaughte.png,a lake with a boat in the water .,"lakeside, lakeshore (0.90)"
Ann_Arbor_rd___Sheldon___Late_at_night_when_everyo.png,a train station with a train on the tracks .,"prison, prison house (0.67), sliding door (0.05), library (0.03)"
Anyone_that_stays_in_room_number_5_will_hear_bangi.png,a bathroom with a shower and a toilet .,"wardrobe, closet, press (0.28), sliding door (0.11), doormat, welcome mat (0.06), safe (0.03), chiffonier, commode (0.02)"
Anytime_of_the_day_or_night__you_can_hear_footstep.png,a bathroom with a shower and a toilet .,"sliding door (0.73), wardrobe, closet, press (0.07), doormat, welcome mat (0.05), safe (0.04)"
Any_area_of_the_island_that_had_enough_soil_as_at.png,a black and white photo of a horse and a horse,"dam, dike, dyke (0.69), castle (0.04), monastery (0.03)"
An_abandoned_farm_house_located_2_miles_north_of_B.png,a black and white photo of a barn in a field .,barn (0.95)
An_apparition_of_a_girl_has_been_seen_twice_by_emp.png,a black and white photo of a person on a laptop .,"nematode, nematode worm, roundworm (0.13), matchstick (0.08), digital clock (0.05), jack-o'-lantern (0.02), theater curtain, theatre curtain (0.02)"
An_apparition_of_a_woman_in_a_white_dress_has_been.png,a man standing in a field holding a frisbee .,"abaya (0.67), cloak (0.10)"
An_elderly_man_sits_in_a_rocking_chair_by_the_fire.png,a man sitting on a chair in a room .,"rocking chair, rocker (0.96)"
An_electrician_was_putting_the_lighting_up_for_the.png,a group of people sitting on a couch with laptops .,"cinema, movie theater, movie theatre, movie house, picture palace (0.78), theater curtain, theatre curtain (0.20)"
An_eleven_year_old_girl__whose_last_name_is_Sloane.png,a building with a red fire hydrant on the side of it .,"restaurant, eating house, eating place, eatery (0.12), fire engine, fire truck (0.09), flagpole, flagstaff (0.08), tobacco shop, tobacconist shop, tobacconist (0.06), library (0.05)"
An_individual_has_been_seen_and_heard_walking_arou.png,a black and white photo of a building with a clock tower .,"church, church building (0.23), birdhouse (0.23), boathouse (0.20), beacon, lighthouse, beacon light, pharos (0.06), barn (0.05)"
An_old_abandoned_slaughter_house_that_has_been_boa.png,a black and white photo of a horse in a barn .,"prison, prison house (0.36), barn (0.30)"
An_old_bar_called_the_Rusty_Nail_was_said_to_have.png,a living room with a couch and a table,"restaurant, eating house, eating place, eatery (0.11), bookcase (0.10), entertainment center (0.09), china cabinet, china closet (0.05), cinema, movie theater, movie theatre, movie house, picture palace (0.05)"
An_old_farmer_went_insane_and_killed_his_family_an.png,a black and white photo of a truck and a car,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin (0.61), crate (0.10), refrigerator, icebox (0.10), television, television system (0.05), gas pump, gasoline pump, petrol pump, island dispenser (0.02)"
An_old_man__believed_to_be_in_his_90_s_appears_in.png,a black and white photo of a man in a suit,"sliding door (0.14), prison, prison house (0.12), bow tie, bow-tie, bowtie (0.09), military uniform (0.03), turnstile (0.02)"
An_old_Public_School_that_has_been_shut_down_and_t.png,a black and white photo of a living room .,"digital clock (0.33), prison, prison house (0.30), window shade (0.09), pool table, billiard table, snooker table (0.03), vault (0.02)"
an_old_railroad_tunnel_with_7_large_steps_leading.png,a black and white photo of a train station .,"vault (0.80), prison, prison house (0.06), monastery (0.02), greenhouse, nursery, glasshouse (0.02)"
An_unknown_ghost_haunts_the_halls_of_the_third_flo.png,a view of a room with a large window .,"prison, prison house (0.79), vault (0.06)"
Apparently_in_the_late_1970_s_a_female_freshman_co.png,a large building with a clock on it .,"library (0.59), flagpole, flagstaff (0.17), window screen (0.02), church, church building (0.02)"
Apparently_when_you_drive_into_Upland_from_the_Cla.png,a street corner with a traffic light and a street sign .,"traffic light, traffic signal, stoplight (0.51), pole (0.08), swing (0.02), street sign (0.02)"
Apparent_hauntings_occur_here__Built_in_the_late_1.png,a group of people sitting on a bench in front of a building .,"vault (0.69), palace (0.12), restaurant, eating house, eating place, eatery (0.03), prison, prison house (0.02), monastery (0.02)"
Apparitions_of_a_noose_that_swings__hear_a_father.png,a woman sitting on a couch holding a wii remote .,"spotlight, spot (0.15), hand blower, blow dryer, blow drier, hair dryer, hair drier (0.09), microphone, mike (0.06), book jacket, dust cover, dust jacket, dust wrapper (0.03), binoculars, field glasses, opera glasses (0.03)"
Apparitions_of_kids_and_equipment_moves_.png,a black and white photo of a living room,"barber chair (0.19), barbershop (0.08), radiator (0.07), space heater (0.06), prayer rug, prayer mat (0.03)"
Apparitions_seen_.png,a pair of shoes and a pair of scissors .,"candle, taper, wax light (0.17), cloak (0.16), abaya (0.13), lampshade, lamp shade (0.06), radiator (0.04)"
Apparitions__feelings_of_being_watched____strange.png,a bunch of different colored ties hanging from a wall .,"abaya (0.48), cloak (0.10), vestment (0.08), lab coat, laboratory coat (0.04), hook, claw (0.02)"
Apparition_of_a_lady_in_a_white_dress_with_a_white.png,a black and white photo of a bathroom,"vestment (0.52), altar (0.13), cloak (0.08), gown (0.06)"
Apparition_of_a_lady_in_white_and_a_ghost_of_a_lit.png,a man in a suit and tie holding a teddy bear .,"gown (0.31), abaya (0.21), cloak (0.15), shower curtain (0.04), theater curtain, theatre curtain (0.03)"
Apparition_of_a_little_girl__misplaced_items_would.png,a black and white photo of a man and a woman,"cloak (0.54), saltshaker, salt shaker (0.06), hoopskirt, crinoline (0.04), breastplate, aegis, egis (0.03), overskirt (0.02)"
April_2008_removed_.png,a black and white photo of a barn and a barn,"monastery (0.36), church, church building (0.25), beacon, lighthouse, beacon light, pharos (0.16), barn (0.05)"
Around_1970_a_mysterious_fire_broke_out_in_the_dow.png,a black and white photo of a man in a bathroom,"sliding door (0.32), wardrobe, closet, press (0.18), washbasin, handbasin, washbowl, lavabo, wash-hand basin (0.03), vestment (0.03), gown (0.02)"
Around_7_30pm_every_night_at_Garden_City_High_Scho.png,a man holding a tennis racquet on a tennis court .,"racket, racquet (0.61), tennis ball (0.37)"
Around_the_70_s_or_80_s_students_would_go_to_the_p.png,a black and white photo of a person sitting on a bench,"bannister, banister, balustrade, balusters, handrail (0.34), carousel, carrousel, merry-go-round, roundabout, whirligig (0.19), marimba, xylophone (0.13), fountain (0.05), triceratops (0.02)"
Around_this_huge_cemetery_there_are_many_other_sma.png,a woman standing next to a statue of a man .,"cloak (0.44), vestment (0.10), abaya (0.07), kimono (0.02), pedestal, plinth, footstall (0.02)"
Art_Center___an_Indian_girl_has_been_reported_wand.png,a woman is standing in front of a door .,"prison, prison house (0.34), cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM (0.07), pay-phone, pay-station (0.06), broom (0.05), sliding door (0.04)"
Ashburn_Hall_Guest_House____Very_haunted_place__Ha.png,a building with a clock on the top of it .,library (0.91)
Ash_Hall___There_is_a_mysterious_fire_ghost_who_ro.png,a black and white photo of a man holding a skateboard .,"shovel (0.30), crutch (0.15), cloak (0.09), ski (0.03), scabbard (0.03)"
As_you_enter__sometimes_you_can_see_a_girl_with_lo.png,a black and white photo of a room with a window,"wardrobe, closet, press (0.39), refrigerator, icebox (0.08), prison, prison house (0.08), safe (0.07), sliding door (0.04)"
As_you_go_in_the_old_place_back_in_1903_a_man_was.png,a black and white photo of a man and a woman,neck brace (0.98)
As_you_turn_onto_North_Street_from_East_Street_lat.png,a black and white photo of a train station,"steam locomotive (0.85), passenger car, coach, carriage (0.05), lumbermill, sawmill (0.02)"
At_3_00_a_m__the_spirits_walk_the_graveyard__And_s.png,a black and white photo of a street light,"megalith, megalithic structure (0.65), obelisk (0.12), fountain (0.03), abaya (0.02)"
At_9_30_in_the_morning_a_purple_and_red_haze_can_s.png,a park bench in the middle of a park .,"park bench (0.13), obelisk (0.11), lakeside, lakeshore (0.10), flagpole, flagstaff (0.08), megalith, megalithic structure (0.07)"
At_Farmington_Grave_yard_you_can_see_3_little_girl.png,a group of people standing next to each other .,"picket fence, paling (0.78), lab coat, laboratory coat (0.02), worm fence, snake fence, snake-rail fence, Virginia fence (0.02), cloak (0.02)"
at_memory_town_there_are_these_little_hotels__peop.png,a black and white photo of a boat in the water .,"paddlewheel, paddle wheel (0.19), palace (0.18), boathouse (0.09), fountain (0.03), picket fence, paling (0.02)"
At_night_after_closing_when_you_are_downstairs_you.png,a room filled with lots of wooden furniture .,"dumbbell (0.22), folding chair (0.12), parallel bars, bars (0.08), rocking chair, rocker (0.06), barbell (0.06)"
At_night_around_ten_o_clock_dark_figures_are_seen.png,a black and white photo of a street sign .,"projectile, missile (0.49), missile (0.32), picket fence, paling (0.06)"
At_night_if_your_not_in_the_room_at_12_00_midnight.png,"a bathroom with a toilet , sink , and bathtub .","prison, prison house (0.74), vault (0.12), shoji (0.07)"
At_night_if_you_walk_around_the_nature_trails__you.png,a person is holding a white frisbee in the snow .,"cloak (0.65), abaya (0.10), gown (0.04), plastic bag (0.03), overskirt (0.02)"
At_night_in_a_garden_there_is_figure_of_a_young_gi.png,a bench sitting in the middle of a park .,park bench (0.98)
At_night_in_the_underground_area_where_the_holding.png,a black and white photo of a train station .,"prison, prison house (0.76)"
At_night_through_out_the_woods_you_can_hear_moanin.png,a person holding a skateboard in a room .,"cloak (0.10), backpack, back pack, knapsack, packsack, rucksack, haversack (0.10), gown (0.09), crutch (0.02), barrow, garden cart, lawn cart, wheelbarrow (0.02)"
At_night_while_driving_East_on_Wheeler_Rd_near_Mey.png,a stop sign on the side of the road .,"chainlink fence (0.08), worm fence, snake fence, snake-rail fence, Virginia fence (0.05), traffic light, traffic signal, stoplight (0.04), dam, dike, dyke (0.03), shopping cart (0.03)"
At_night_you_an_drive_down_this_road_and_see_weird.png,a person riding a snow board on a snowy surface,"car mirror (0.13), unicycle, monocycle (0.06), shopping cart (0.04), mailbox, letter box (0.04), trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi (0.03)"
At_night_you_can_see_lights_up_on_the_hill__Report.png,a black and white photo of a park bench,"picket fence, paling (0.88), worm fence, snake fence, snake-rail fence, Virginia fence (0.04)"
At_night_you_can_see_the_ghosts_of_two_boys_playin.png,a black and white photo of a man on a skateboard .,basketball (0.98)
at_night__every_night_if_you_go_down_the_whole_tra.png,a couple of animals that are in the grass .,"lakeside, lakeshore (0.14), park bench (0.11), megalith, megalithic structure (0.09), viaduct (0.04), stone wall (0.04)"
at_night__there_is_a_figure_that_comes_around_ever.png,a black and white photo of a pair of scissors,"teddy, teddy bear (0.81)"
At_night__voices_of_little_children_playing_can_be.png,a train traveling down tracks next to a forest .,steam locomotive (0.94)
At_the_bottom_of_Coulterville_Road__when_you_must.png,a black and white photo of an old church .,"church, church building (0.93)"
At_the_completion_of_the_roller_coaster_a_Maintena.png,a black and white photo of a motorcycle,"half track (0.57), tank, army tank, armored combat vehicle, armoured combat vehicle (0.04), amphibian, amphibious vehicle (0.02), freight car (0.02)"
At_the_Cunnif_cemetery_there_are_the_graves_from_p.png,a black and white photo of a fire hydrant .,"picket fence, paling (0.65), mailbox, letter box (0.11), obelisk (0.04)"
At_the_end_of_seven_Galbles_rd__found_off_Dexter_t.png,a wooden bench in front of a house .,"worm fence, snake fence, snake-rail fence, Virginia fence (0.92), picket fence, paling (0.04)"
At_the_Lancaster_Green_Apartments__building_K_2_yo.png,a tall building with a clock on top of it .,"library (0.79), flagpole, flagstaff (0.05), fountain (0.04), traffic light, traffic signal, stoplight (0.02)"
At_the_turn_of_the_20th_Century__when_the_station.png,a black and white photo of a living room .,"schipperke (0.19), sliding door (0.09), groenendael (0.05), bookshop, bookstore, bookstall (0.05), prison, prison house (0.04)"
AuditoriumIn_the_back_of_the_auditorium_there_is_a.png,a person walking down a sidewalk next to a traffic light .,"spotlight, spot (0.29), vault (0.07), cinema, movie theater, movie theatre, movie house, picture palace (0.05), television, television system (0.05), prison, prison house (0.04)"
Auditorium___There_are_reports_of_the_Auditorium_b.png,a close up of a neatly made bed,"theater curtain, theatre curtain (0.84)"
A_300_year_old_cemetary_built_upon_by_a_christian.png,a black and white photo of a park bench,"brass, memorial tablet, plaque (0.25), obelisk (0.14), worm fence, snake fence, snake-rail fence, Virginia fence (0.10), megalith, megalithic structure (0.05), park bench (0.03)"
A_bar_in_which_there_is_an_old_slave_tunnel_in_the.png,a man in a suit and tie standing in front of a building .,"trench coat (0.23), suit, suit of clothes (0.23), military uniform (0.15), prison, prison house (0.10), groom, bridegroom (0.02)"
A_bed_and_breakfast_on_the_site_of_an_old_plantati.png,a black and white photo of a building with a fire hydrant .,"picket fence, paling (0.62), boathouse (0.13), palace (0.11)"
A_black_spirit_has_been_seen_in_the_embalming_room.png,a bedroom with a bed and a desk,"cloak (0.22), abaya (0.15), television, television system (0.05), wardrobe, closet, press (0.05), spotlight, spot (0.02)"
A_boy_coming_out_of_gym_class_was_said_to_have_col.png,a man standing in front of a bathroom mirror .,"shoji (0.08), cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM (0.06), racket, racquet (0.05), torch (0.04), balance beam, beam (0.04)"
A_boy_is_believed_to_have_drowned_when_the_pool_wa.png,a black and white photo of a bathroom,"lampshade, lamp shade (0.21), candle, taper, wax light (0.08), paper towel (0.04), table lamp (0.03), theater curtain, theatre curtain (0.02)"
A_car_with_large_headlights_appears_from_the_top_o.png,a black and white photo of a boat in the water .,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin (0.89)"
A_Christian_Brother_that_passed_away_has_been_hear.png,"a bathroom with a toilet , sink , and bathtub .","web site, website, internet site, site (0.39), lampshade, lamp shade (0.17), table lamp (0.05), spotlight, spot (0.04), abaya (0.02)"
a_civil_war_soldier_has_been_seen_here_.png,a church with a steeple and a clock on top .,"church, church building (0.41), barn (0.28), beacon, lighthouse, beacon light, pharos (0.05), bell cote, bell cot (0.03)"
A_family_called_the_Church_family_built_the_old_ho.png,a black and white photo of a church with a clock tower .,"palace (0.28), castle (0.21), monastery (0.13), church, church building (0.04)"
A_female_student_at_the_Dubois_Area_High_school_wa.png,a close up of a person with a frisbee,"cloak (0.66), abaya (0.16)"
A_few_witnesses_heard_footsteps_and_saw_heads_in_t.png,a black and white photo of a train,"boathouse (0.46), barn (0.34)"
A_few_years_ago_Jeans_Hospital_was_having_financia.png,a man and a woman standing in a kitchen .,"stretcher (0.25), barbershop (0.23), barber chair (0.12), lab coat, laboratory coat (0.04), bakery, bakeshop, bakehouse (0.02)"
A_few_years_ago_there_was_a_fight_at_the_park__and.png,a park bench sitting in the middle of a park .,park bench (0.96)
A_former_chicken_coop_that_was_used_as_a_speakeasy.png,a black and white photo of a brick building,"window screen (0.30), boathouse (0.16), mobile home, manufactured home (0.12), picket fence, paling (0.09), barn (0.07)"
a_former_employee_back_in_1999__Encountered_an_app.png,a room filled with lots of different types of furniture .,library (0.91)
A_former_employee_killed_himself_on_the_2nd_floor.png,a man standing in front of a bathroom mirror .,"sliding door (0.53), doormat, welcome mat (0.10), wardrobe, closet, press (0.09), refrigerator, icebox (0.05), crutch (0.02)"
A_former_employee_reported_seeing_a_teenage_girl_h.png,a black and white photo of a train,"prison, prison house (0.53), bannister, banister, balustrade, balusters, handrail (0.16)"
A_former_worker_reports_weird_things_would_happen.png,a black and white photo of a clock tower .,"library (0.96), bookshop, bookstore, bookstall (0.03)"
a_former_worker_that_worked_there_for_about_4_mont.png,a black and white photo of a train station .,"fountain (0.81), spotlight, spot (0.04)"
a_former_worker_used_to_work_here_doing_post_morte.png,a man standing in front of a mirror in a room .,"prison, prison house (0.97)"
A_fourteen_year_old_girl_was_crushed_behind_the_bl.png,a view of a bathroom with a sink and a mirror .,"shoji (0.16), prison, prison house (0.11), vault (0.10), bannister, banister, balustrade, balusters, handrail (0.09), theater curtain, theatre curtain (0.06)"
a_ghost_has_been_seen_on_the_stairs_and_in_a_rocki.png,a black and white photo of a wooden bench,"rocking chair, rocker (0.96)"
A_ghost_has_been_seen_walking_around_in_the_wrestl.png,a man riding a skateboard up the side of a ramp .,"punching bag, punch bag, punching ball, punchball (0.44), barbell (0.20), dumbbell (0.11), parallel bars, bars (0.05), horizontal bar, high bar (0.02)"
A_ghost_named_Eli_has_been_known_to_close_doors__m.png,a living room filled with furniture and a fire place .,"shoji (0.91), prison, prison house (0.06)"
A_ghost_named_George_who_was_supposedly_hung_by_ac.png,a man is standing in front of a mirror .,"cloak (0.67), abaya (0.11), bath towel (0.02)"
a_ghost_of_a_caring_nun_haunts_the_6th_floor_of_th.png,a black and white photo of a man standing in a room .,"prison, prison house (0.64), punching bag, punch bag, punching ball, punchball (0.09), turnstile (0.08), vault (0.03)"
a_ghost_of_a_Hessian_soldier_in_the_basement_of_th.png,a black and white photo of a man on a skateboard .,"projectile, missile (0.65), missile (0.13), pickelhaube (0.13), military uniform (0.03)"
A_ghost_of_a_man_frequents_this_place__we_are_unsu.png,a black and white photo of a bathroom,"prison, prison house (0.92)"
A_ghost_of_a_murdered_wife_believed_to_have_come_b.png,a woman is standing in front of a mirror,"cloak (0.76), abaya (0.08)"
A_ghost_train_can_be_seen_on_foggy_nights_off_of_H.png,a city street at night with lights on .,"passenger car, coach, carriage (0.22), spotlight, spot (0.18), hourglass (0.16), traffic light, traffic signal, stoplight (0.05), suspension bridge (0.04)"
A_gift_to_the_town_in_the_early_20th_century_from.png,a room that has a large bed in it,"prison, prison house (0.92), vault (0.02)"
a_girl_is_seen_frequently_around_the_park_after_yo.png,a black and white photo of a bathroom with a shower,"desk (0.20), radiator (0.16), space heater (0.05), cloak (0.02), fire screen, fireguard (0.02)"
A_Girl_was_raped_and_killed_in_the_library__if_you.png,a black and white photo of a person on a laptop .,"nematode, nematode worm, roundworm (0.13), matchstick (0.08), digital clock (0.05), jack-o'-lantern (0.02), theater curtain, theatre curtain (0.02)"
A_girl_was_seen_in_one_of_the_rooms_during_the_nig.png,a woman taking a picture of herself in a mirror .,"sliding door (0.60), window screen (0.09), window shade (0.06), wardrobe, closet, press (0.05), medicine chest, medicine cabinet (0.03)"
a_gray_ghost_haunts_room_24_.png,a black and white photo of a vase with a flower in it .,"four-poster (0.38), rifle (0.28), table lamp (0.05), pedestal, plinth, footstall (0.04), upright, upright piano (0.02)"
a_green_ghost_of_a_man_that_dies_there_in_the_1930.png,a man standing next to a woman in a room .,"cloak (0.68), vestment (0.05), fur coat (0.03), abaya (0.02)"
A_heavy_and_oppressive_feeling_takes_over_you_as_y.png,a black and white photo of a person on a snowboard .,"church, church building (0.53), barn (0.12), spotlight, spot (0.08), castle (0.04), window screen (0.03)"
A_heavy_mist_appears_across_the_canal_and_starts_t.png,a view of a snow covered mountain in the distance .,"spotlight, spot (0.08), killer whale, killer, orca, grampus, sea wolf, Orcinus orca (0.06), stupa, tope (0.03), obelisk (0.02), cloak (0.02)"
A_house_Norwich_St_hosts_a_ghost__On_the_second_st.png,a red fire hydrant sitting on the side of a building .,"window screen (0.43), flagpole, flagstaff (0.08), window shade (0.07), picket fence, paling (0.04), beacon, lighthouse, beacon light, pharos (0.03)"
A_huge_tomb_in_a_grass_hill_is_said_to_be_haunted.png,a black and white photo of a skate board,"soccer ball (0.14), ocarina, sweet potato (0.05), golf ball (0.05), mask (0.05), baseball (0.05)"
