Filename,Detected Objects
Anyone_that_stays_in_room_number_5_will_hear_bangi.png,"wardrobe, closet, press (0.28), sliding door (0.11), doormat, welcome mat (0.06), safe (0.03), chiffonier, commode (0.02)"
Anytime_of_the_day_or_night__you_can_hear_footstep.png,"sliding door (0.73), wardrobe, closet, press (0.07), doormat, welcome mat (0.05), safe (0.04)"
Any_area_of_the_island_that_had_enough_soil_as_at.png,"dam, dike, dyke (0.69), castle (0.04), monastery (0.03)"
An_abandoned_farm_house_located_2_miles_north_of_B.png,barn (0.95)
An_apparition_of_a_girl_has_been_seen_twice_by_emp.png,"nematode, nematode worm, roundworm (0.13), matchstick (0.08), digital clock (0.05), jack-o'-lantern (0.02), theater curtain, theatre curtain (0.02)"
An_apparition_of_a_woman_in_a_white_dress_has_been.png,"abaya (0.67), cloak (0.10)"
An_elderly_man_sits_in_a_rocking_chair_by_the_fire.png,"rocking chair, rocker (0.96)"
An_electrician_was_putting_the_lighting_up_for_the.png,"cinema, movie theater, movie theatre, movie house, picture palace (0.78), theater curtain, theatre curtain (0.20)"
An_eleven_year_old_girl__whose_last_name_is_Sloane.png,"restaurant, eating house, eating place, eatery (0.12), fire engine, fire truck (0.09), flagpole, flagstaff (0.08), tobacco shop, tobacconist shop, tobacconist (0.06), library (0.05)"
An_individual_has_been_seen_and_heard_walking_arou.png,"church, church building (0.23), birdhouse (0.23), boathouse (0.20), beacon, lighthouse, beacon light, pharos (0.06), barn (0.05)"
An_old_abandoned_slaughter_house_that_has_been_boa.png,"prison, prison house (0.36), barn (0.30)"
An_old_bar_called_the_Rusty_Nail_was_said_to_have.png,"restaurant, eating house, eating place, eatery (0.11), bookcase (0.10), entertainment center (0.09), china cabinet, china closet (0.05), cinema, movie theater, movie theatre, movie house, picture palace (0.05)"
An_old_farmer_went_insane_and_killed_his_family_an.png,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin (0.61), crate (0.10), refrigerator, icebox (0.10), television, television system (0.05), gas pump, gasoline pump, petrol pump, island dispenser (0.02)"
An_old_man__believed_to_be_in_his_90_s_appears_in.png,"sliding door (0.14), prison, prison house (0.12), bow tie, bow-tie, bowtie (0.09), military uniform (0.03), turnstile (0.02)"
An_old_Public_School_that_has_been_shut_down_and_t.png,"digital clock (0.33), prison, prison house (0.30), window shade (0.09), pool table, billiard table, snooker table (0.03), vault (0.02)"
an_old_railroad_tunnel_with_7_large_steps_leading.png,"vault (0.80), prison, prison house (0.06), monastery (0.02), greenhouse, nursery, glasshouse (0.02)"
An_unknown_ghost_haunts_the_halls_of_the_third_flo.png,"prison, prison house (0.79), vault (0.06)"
Apparently_in_the_late_1970_s_a_female_freshman_co.png,"library (0.59), flagpole, flagstaff (0.17), window screen (0.02), church, church building (0.02)"
Apparently_when_you_drive_into_Upland_from_the_Cla.png,"traffic light, traffic signal, stoplight (0.51), pole (0.08), swing (0.02), street sign (0.02)"
Apparent_hauntings_occur_here__Built_in_the_late_1.png,"vault (0.69), palace (0.12), restaurant, eating house, eating place, eatery (0.03), prison, prison house (0.02), monastery (0.02)"
Apparitions_of_a_noose_that_swings__hear_a_father.png,"spotlight, spot (0.15), hand blower, blow dryer, blow drier, hair dryer, hair drier (0.09), microphone, mike (0.06), book jacket, dust cover, dust jacket, dust wrapper (0.03), binoculars, field glasses, opera glasses (0.03)"
Apparitions_of_kids_and_equipment_moves_.png,"barber chair (0.19), barbershop (0.08), radiator (0.07), space heater (0.06), prayer rug, prayer mat (0.03)"
Apparitions_seen_.png,"candle, taper, wax light (0.17), cloak (0.16), abaya (0.13), lampshade, lamp shade (0.06), radiator (0.04)"
Apparitions__feelings_of_being_watched____strange.png,"abaya (0.48), cloak (0.10), vestment (0.08), lab coat, laboratory coat (0.04), hook, claw (0.02)"
Apparition_of_a_lady_in_a_white_dress_with_a_white.png,"vestment (0.52), altar (0.13), cloak (0.08), gown (0.06)"
Apparition_of_a_lady_in_white_and_a_ghost_of_a_lit.png,"gown (0.31), abaya (0.21), cloak (0.15), shower curtain (0.04), theater curtain, theatre curtain (0.03)"
Apparition_of_a_little_girl__misplaced_items_would.png,"cloak (0.54), saltshaker, salt shaker (0.06), hoopskirt, crinoline (0.04), breastplate, aegis, egis (0.03), overskirt (0.02)"
April_2008_removed_.png,"monastery (0.36), church, church building (0.25), beacon, lighthouse, beacon light, pharos (0.16), barn (0.05)"
Around_1970_a_mysterious_fire_broke_out_in_the_dow.png,"sliding door (0.32), wardrobe, closet, press (0.18), washbasin, handbasin, washbowl, lavabo, wash-hand basin (0.03), vestment (0.03), gown (0.02)"
Around_7_30pm_every_night_at_Garden_City_High_Scho.png,"racket, racquet (0.61), tennis ball (0.37)"
Around_the_70_s_or_80_s_students_would_go_to_the_p.png,"bannister, banister, balustrade, balusters, handrail (0.34), carousel, carrousel, merry-go-round, roundabout, whirligig (0.19), marimba, xylophone (0.13), fountain (0.05), triceratops (0.02)"
Around_this_huge_cemetery_there_are_many_other_sma.png,"cloak (0.44), vestment (0.10), abaya (0.07), kimono (0.02), pedestal, plinth, footstall (0.02)"
Art_Center___an_Indian_girl_has_been_reported_wand.png,"prison, prison house (0.34), cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM (0.07), pay-phone, pay-station (0.06), broom (0.05), sliding door (0.04)"
Ashburn_Hall_Guest_House____Very_haunted_place__Ha.png,library (0.91)
Ash_Hall___There_is_a_mysterious_fire_ghost_who_ro.png,"shovel (0.30), crutch (0.15), cloak (0.09), ski (0.03), scabbard (0.03)"
As_you_enter__sometimes_you_can_see_a_girl_with_lo.png,"wardrobe, closet, press (0.39), refrigerator, icebox (0.08), prison, prison house (0.08), safe (0.07), sliding door (0.04)"
As_you_go_in_the_old_place_back_in_1903_a_man_was.png,neck brace (0.98)
As_you_turn_onto_North_Street_from_East_Street_lat.png,"steam locomotive (0.85), passenger car, coach, carriage (0.05), lumbermill, sawmill (0.02)"
At_3_00_a_m__the_spirits_walk_the_graveyard__And_s.png,"megalith, megalithic structure (0.65), obelisk (0.12), fountain (0.03), abaya (0.02)"
At_9_30_in_the_morning_a_purple_and_red_haze_can_s.png,"park bench (0.13), obelisk (0.11), lakeside, lakeshore (0.10), flagpole, flagstaff (0.08), megalith, megalithic structure (0.07)"
At_Farmington_Grave_yard_you_can_see_3_little_girl.png,"picket fence, paling (0.78), lab coat, laboratory coat (0.02), worm fence, snake fence, snake-rail fence, Virginia fence (0.02), cloak (0.02)"
at_memory_town_there_are_these_little_hotels__peop.png,"paddlewheel, paddle wheel (0.19), palace (0.18), boathouse (0.09), fountain (0.03), picket fence, paling (0.02)"
At_night_after_closing_when_you_are_downstairs_you.png,"dumbbell (0.22), folding chair (0.12), parallel bars, bars (0.08), rocking chair, rocker (0.06), barbell (0.06)"
At_night_around_ten_o_clock_dark_figures_are_seen.png,"projectile, missile (0.49), missile (0.32), picket fence, paling (0.06)"
At_night_if_your_not_in_the_room_at_12_00_midnight.png,"prison, prison house (0.74), vault (0.12), shoji (0.07)"
At_night_if_you_walk_around_the_nature_trails__you.png,"cloak (0.65), abaya (0.10), gown (0.04), plastic bag (0.03), overskirt (0.02)"
At_night_in_a_garden_there_is_figure_of_a_young_gi.png,park bench (0.98)
At_night_in_the_underground_area_where_the_holding.png,"prison, prison house (0.76)"
At_night_through_out_the_woods_you_can_hear_moanin.png,"cloak (0.10), backpack, back pack, knapsack, packsack, rucksack, haversack (0.10), gown (0.09), crutch (0.02), barrow, garden cart, lawn cart, wheelbarrow (0.02)"
At_night_while_driving_East_on_Wheeler_Rd_near_Mey.png,"chainlink fence (0.08), worm fence, snake fence, snake-rail fence, Virginia fence (0.05), traffic light, traffic signal, stoplight (0.04), dam, dike, dyke (0.03), shopping cart (0.03)"
At_night_you_an_drive_down_this_road_and_see_weird.png,"car mirror (0.13), unicycle, monocycle (0.06), shopping cart (0.04), mailbox, letter box (0.04), trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi (0.03)"
At_night_you_can_see_lights_up_on_the_hill__Report.png,"picket fence, paling (0.88), worm fence, snake fence, snake-rail fence, Virginia fence (0.04)"
At_night_you_can_see_the_ghosts_of_two_boys_playin.png,basketball (0.98)
at_night__every_night_if_you_go_down_the_whole_tra.png,"lakeside, lakeshore (0.14), park bench (0.11), megalith, megalithic structure (0.09), viaduct (0.04), stone wall (0.04)"
at_night__there_is_a_figure_that_comes_around_ever.png,"teddy, teddy bear (0.81)"
At_night__voices_of_little_children_playing_can_be.png,steam locomotive (0.94)
At_the_bottom_of_Coulterville_Road__when_you_must.png,"church, church building (0.93)"
At_the_completion_of_the_roller_coaster_a_Maintena.png,"half track (0.57), tank, army tank, armored combat vehicle, armoured combat vehicle (0.04), amphibian, amphibious vehicle (0.02), freight car (0.02)"
At_the_Cunnif_cemetery_there_are_the_graves_from_p.png,"picket fence, paling (0.65), mailbox, letter box (0.11), obelisk (0.04)"
At_the_end_of_seven_Galbles_rd__found_off_Dexter_t.png,"worm fence, snake fence, snake-rail fence, Virginia fence (0.92), picket fence, paling (0.04)"
At_the_Lancaster_Green_Apartments__building_K_2_yo.png,"library (0.79), flagpole, flagstaff (0.05), fountain (0.04), traffic light, traffic signal, stoplight (0.02)"
At_the_turn_of_the_20th_Century__when_the_station.png,"schipperke (0.19), sliding door (0.09), groenendael (0.05), bookshop, bookstore, bookstall (0.05), prison, prison house (0.04)"
AuditoriumIn_the_back_of_the_auditorium_there_is_a.png,"spotlight, spot (0.29), vault (0.07), cinema, movie theater, movie theatre, movie house, picture palace (0.05), television, television system (0.05), prison, prison house (0.04)"
Auditorium___There_are_reports_of_the_Auditorium_b.png,"theater curtain, theatre curtain (0.84)"
A_300_year_old_cemetary_built_upon_by_a_christian.png,"brass, memorial tablet, plaque (0.25), obelisk (0.14), worm fence, snake fence, snake-rail fence, Virginia fence (0.10), megalith, megalithic structure (0.05), park bench (0.03)"
A_bar_in_which_there_is_an_old_slave_tunnel_in_the.png,"trench coat (0.23), suit, suit of clothes (0.23), military uniform (0.15), prison, prison house (0.10), groom, bridegroom (0.02)"
A_bed_and_breakfast_on_the_site_of_an_old_plantati.png,"picket fence, paling (0.62), boathouse (0.13), palace (0.11)"
A_black_spirit_has_been_seen_in_the_embalming_room.png,"cloak (0.22), abaya (0.15), television, television system (0.05), wardrobe, closet, press (0.05), spotlight, spot (0.02)"
A_boy_coming_out_of_gym_class_was_said_to_have_col.png,"shoji (0.08), cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM (0.06), racket, racquet (0.05), torch (0.04), balance beam, beam (0.04)"
A_boy_is_believed_to_have_drowned_when_the_pool_wa.png,"lampshade, lamp shade (0.21), candle, taper, wax light (0.08), paper towel (0.04), table lamp (0.03), theater curtain, theatre curtain (0.02)"
A_car_with_large_headlights_appears_from_the_top_o.png,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin (0.89)"
A_Christian_Brother_that_passed_away_has_been_hear.png,"web site, website, internet site, site (0.39), lampshade, lamp shade (0.17), table lamp (0.05), spotlight, spot (0.04), abaya (0.02)"
a_civil_war_soldier_has_been_seen_here_.png,"church, church building (0.41), barn (0.28), beacon, lighthouse, beacon light, pharos (0.05), bell cote, bell cot (0.03)"
A_family_called_the_Church_family_built_the_old_ho.png,"palace (0.28), castle (0.21), monastery (0.13), church, church building (0.04)"
A_female_student_at_the_Dubois_Area_High_school_wa.png,"cloak (0.66), abaya (0.16)"
A_few_witnesses_heard_footsteps_and_saw_heads_in_t.png,"boathouse (0.46), barn (0.34)"
A_few_years_ago_Jeans_Hospital_was_having_financia.png,"stretcher (0.25), barbershop (0.23), barber chair (0.12), lab coat, laboratory coat (0.04), bakery, bakeshop, bakehouse (0.02)"
A_few_years_ago_there_was_a_fight_at_the_park__and.png,park bench (0.96)
A_former_chicken_coop_that_was_used_as_a_speakeasy.png,"window screen (0.30), boathouse (0.16), mobile home, manufactured home (0.12), picket fence, paling (0.09), barn (0.07)"
a_former_employee_back_in_1999__Encountered_an_app.png,library (0.91)
A_former_employee_killed_himself_on_the_2nd_floor.png,"sliding door (0.53), doormat, welcome mat (0.10), wardrobe, closet, press (0.09), refrigerator, icebox (0.05), crutch (0.02)"
A_former_employee_reported_seeing_a_teenage_girl_h.png,"prison, prison house (0.53), bannister, banister, balustrade, balusters, handrail (0.16)"
A_former_worker_reports_weird_things_would_happen.png,"library (0.96), bookshop, bookstore, bookstall (0.03)"
a_former_worker_that_worked_there_for_about_4_mont.png,"fountain (0.81), spotlight, spot (0.04)"
a_former_worker_used_to_work_here_doing_post_morte.png,"prison, prison house (0.97)"
A_fourteen_year_old_girl_was_crushed_behind_the_bl.png,"shoji (0.16), prison, prison house (0.11), vault (0.10), bannister, banister, balustrade, balusters, handrail (0.09), theater curtain, theatre curtain (0.06)"
a_ghost_has_been_seen_on_the_stairs_and_in_a_rocki.png,"rocking chair, rocker (0.96)"
A_ghost_has_been_seen_walking_around_in_the_wrestl.png,"punching bag, punch bag, punching ball, punchball (0.44), barbell (0.20), dumbbell (0.11), parallel bars, bars (0.05), horizontal bar, high bar (0.02)"
A_ghost_named_Eli_has_been_known_to_close_doors__m.png,"shoji (0.91), prison, prison house (0.06)"
A_ghost_named_George_who_was_supposedly_hung_by_ac.png,"cloak (0.67), abaya (0.11), bath towel (0.02)"
a_ghost_of_a_caring_nun_haunts_the_6th_floor_of_th.png,"prison, prison house (0.64), punching bag, punch bag, punching ball, punchball (0.09), turnstile (0.08), vault (0.03)"
a_ghost_of_a_Hessian_soldier_in_the_basement_of_th.png,"projectile, missile (0.65), missile (0.13), pickelhaube (0.13), military uniform (0.03)"
A_ghost_of_a_man_frequents_this_place__we_are_unsu.png,"prison, prison house (0.92)"
A_ghost_of_a_murdered_wife_believed_to_have_come_b.png,"cloak (0.76), abaya (0.08)"
A_ghost_train_can_be_seen_on_foggy_nights_off_of_H.png,"passenger car, coach, carriage (0.22), spotlight, spot (0.18), hourglass (0.16), traffic light, traffic signal, stoplight (0.05), suspension bridge (0.04)"
A_gift_to_the_town_in_the_early_20th_century_from.png,"prison, prison house (0.92), vault (0.02)"
a_girl_is_seen_frequently_around_the_park_after_yo.png,"desk (0.20), radiator (0.16), space heater (0.05), cloak (0.02), fire screen, fireguard (0.02)"
A_Girl_was_raped_and_killed_in_the_library__if_you.png,"nematode, nematode worm, roundworm (0.13), matchstick (0.08), digital clock (0.05), jack-o'-lantern (0.02), theater curtain, theatre curtain (0.02)"
A_girl_was_seen_in_one_of_the_rooms_during_the_nig.png,"sliding door (0.60), window screen (0.09), window shade (0.06), wardrobe, closet, press (0.05), medicine chest, medicine cabinet (0.03)"
a_gray_ghost_haunts_room_24_.png,"four-poster (0.38), rifle (0.28), table lamp (0.05), pedestal, plinth, footstall (0.04), upright, upright piano (0.02)"
a_green_ghost_of_a_man_that_dies_there_in_the_1930.png,"cloak (0.68), vestment (0.05), fur coat (0.03), abaya (0.02)"
A_heavy_and_oppressive_feeling_takes_over_you_as_y.png,"church, church building (0.53), barn (0.12), spotlight, spot (0.08), castle (0.04), window screen (0.03)"
A_heavy_mist_appears_across_the_canal_and_starts_t.png,"spotlight, spot (0.08), killer whale, killer, orca, grampus, sea wolf, Orcinus orca (0.06), stupa, tope (0.03), obelisk (0.02), cloak (0.02)"
A_house_Norwich_St_hosts_a_ghost__On_the_second_st.png,"window screen (0.43), flagpole, flagstaff (0.08), window shade (0.07), picket fence, paling (0.04), beacon, lighthouse, beacon light, pharos (0.03)"
A_huge_tomb_in_a_grass_hill_is_said_to_be_haunted.png,"soccer ball (0.14), ocarina, sweet potato (0.05), golf ball (0.05), mask (0.05), baseball (0.05)"
A_janitor_hung_himself_in_the_auditorium_because_h.png,"theater curtain, theatre curtain (0.97)"
A_janitor_was_killed_in_the_auditorium_of_Johnstow.png,"bannister, banister, balustrade, balusters, handrail (0.73), prison, prison house (0.04), library (0.04)"
a_janitor_was_killed_in_the_basement_by_a_student.png,"turnstile (0.26), refrigerator, icebox (0.22), sliding door (0.04), prison, prison house (0.03), bannister, banister, balustrade, balusters, handrail (0.02)"
A_janitor_who_has_been_thought_to_worship_Satan_an.png,"cloak (0.79), abaya (0.12), prison, prison house (0.02)"
a_lady_and_her_daughter_went_out_on_a_small_boat_r.png,"canoe (0.64), speedboat (0.15), paddle, boat paddle (0.05), lakeside, lakeshore (0.03)"
A_lady_in_white_that_was_seen_by_a_jogger_one_nigh.png,"cloak (0.32), abaya (0.10), vestment (0.10), gown (0.08), picket fence, paling (0.07)"
A_lady_is_said_to_have_been_murdered_in_the_old_ho.png,"cloak (0.60), abaya (0.11), fur coat (0.03), trench coat (0.02), vestment (0.02)"
A_large_ship_with_giant_sails_was_drifting_out_nea.png,"schooner (0.94), pirate, pirate ship (0.02)"
A_little_boy_haunts_theater_number_5_who_was_kille.png,"wardrobe, closet, press (0.70), sliding door (0.07), safe (0.06), prison, prison house (0.02)"
a_little_boy_was_hit_by_a_train_right_under_the_br.png,"church, church building (0.32), monastery (0.15), barn (0.09), boathouse (0.08), bell cote, bell cot (0.07)"
A_little_girl_has_been_heard_crying_in_the_woods_b.png,"cloak (0.74), poncho (0.04), plastic bag (0.03)"
A_little_girl_haunts_the_building__along_with_poss.png,"four-poster (0.61), radiator (0.12), studio couch, day bed (0.05), quilt, comforter, comfort, puff (0.04)"
A_little_girl_hung_herself_from_the_swing_set_ther.png,swing (0.99)
A_little_girl_seems_to_be_haunting_the_projection.png,"prison, prison house (0.35), badger (0.07), barbershop (0.05), punching bag, punch bag, punching ball, punchball (0.02), vault (0.02)"
A_little_girl_was_killed_suddenly_while_waiting_fo.png,"mobile home, manufactured home (0.33), picket fence, paling (0.08), patio, terrace (0.07), window screen (0.04), flagpole, flagstaff (0.04)"
A_little_girl_with_long_hair_haunts_this_Bed___Bre.png,"grand piano, grand (0.50), upright, upright piano (0.44)"
A_long_time_ago__a_young_Native_American_and_her_w.png,"valley, vale (0.44), worm fence, snake fence, snake-rail fence, Virginia fence (0.10), dam, dike, dyke (0.04), lumbermill, sawmill (0.03), Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis (0.02)"
A_long_while_back_the_Tuberculosis_patients_were_s.png,"lumbermill, sawmill (0.17), toilet tissue, toilet paper, bathroom tissue (0.16), snowplow, snowplough (0.11), prison, prison house (0.07), spotlight, spot (0.03)"
a_lot_of_strange_things_have_happened_there__Repor.png,"sliding door (0.50), doormat, welcome mat (0.07), medicine chest, medicine cabinet (0.04), barbershop (0.02), window screen (0.02)"
A_maid_that_fell_down_the_stairs_of_the_castle_tow.png,"bell cote, bell cot (0.31), church, church building (0.14), castle (0.12), palace (0.10), monastery (0.04)"
a_male_and_a_female_about_18_years_of_age_back_in.png,"lab coat, laboratory coat (0.25), cloak (0.13), abaya (0.05), vestment (0.05), groom, bridegroom (0.03)"
A_man_burnt_his_baby__wife_and_himself_in_an_upsta.png,"guillotine (0.05), window screen (0.05), china cabinet, china closet (0.05), wardrobe, closet, press (0.04), medicine chest, medicine cabinet (0.04)"
A_man_in_black_can_sometimes_be_seen_floating_up_a.png,"cloak (0.28), abaya (0.15), vestment (0.11), academic gown, academic robe, judge's robe (0.08), suit, suit of clothes (0.05)"
A_man_named_Ed_died_here_last_year_while_playing_E.png,"monitor (0.43), screen, CRT screen (0.15), desktop computer (0.07), desk (0.07), restaurant, eating house, eating place, eatery (0.02)"
A_man_named_Louie_was_killed_outside_on_the_front.png,"bannister, banister, balustrade, balusters, handrail (0.61), library (0.03), church, church building (0.02), mobile home, manufactured home (0.02), vault (0.02)"
A_man_walks_around_the_bar_blowing_on_all_of_the_l.png,"television, television system (0.90), entertainment center (0.06), home theater, home theatre (0.02)"
A_man_was_burnt_alive_in_the_school_and_haunts_the.png,"punching bag, punch bag, punching ball, punchball (0.10), prison, prison house (0.07), shoji (0.05), vault (0.05), ballplayer, baseball player (0.03)"
A_man_was_killed_by_a_drowning_in_the_outside_pool.png,"bathing cap, swimming cap (0.18), swimming trunks, bathing trunks (0.16), fountain (0.13), maillot, tank suit (0.10), bikini, two-piece (0.07)"
a_man_was_saved_from_being_crushed_by_a_ghost_of_m.png,"stethoscope (0.61), trench coat (0.05), bow tie, bow-tie, bowtie (0.02), sunglasses, dark glasses, shades (0.02), lab coat, laboratory coat (0.02)"
