Filename,Caption
when_your_driving_through_the_cemetery_at_night__y.png,a black and white photo of a fire hydrant
Adelaide_Cemetery___Look_for__Charlotte_s_Grave__a.png,a clock tower in the middle of a park .
Apparently_the_Patterson_s_are_still_there__Staff.png,a large building with a clock on it .
It_used_to_be_an_old_nursing_home_but_had_been_vac.png,a house that has some trees in it
In_the_1990_s__a_man_was_robbed_and_thrown_in_the.png,a man in a suit and tie standing in a room .
Employees_that_go_into_the_basement_feel_like_they.png,a group of people standing next to each other .
off_138____turn_on_black_rabbit_road_stop_on_cry_b.png,a church with a steeple and a clock on top .
A_woman_was_walking_down_the_side_of_Highway_5_nea.png,a black and white photo of a living room
If_you_are_parked_at_the_top_of_the_hill_and_flash.png,a black and white photo of a building with a clock tower .
Shawnee_State_University___Advance_Technology_Cent.png,a black and white photo of a church with a clock tower .
January_2007_Removal_of_false_entry_.png,a man standing in front of a window in a house .
Place_D_Armes_Hotel___Guests_have_been_awakened_in.png,a man sitting at a table in a restaurant .
Before_a_high_school__Birmingham_High_School__name.png,a black and white photo of a kitchen with a window
In_the_1960_s__a_roller_coaster_at_Puritas_Amuseme.png,a black and white photo of a train on a track
Inside_of_the_school_auditorium_there_seems_to_be.png,a black and white photo of a fire hydrant
The_house_was_originally_located_on_the_opposite_s.png,a wooden bench sitting in the middle of a forest .
There_is_a_young_boy_who_died_there_and_is_seen_pl.png,a wooden bench sitting in front of a building .
It_is_said_that_a_little_girl_died_in_the_auditori.png,a young boy sitting on a bed with a book .
Strange_occurrences_noted_in_room_331__At_night_it.png,a black and white photo of a building with a clock tower .
Around_the_1920_s__A_man_named_Hoffman_took_severa.png,a black and white photo of a street sign
The_county_s_last_hanging_tree_was_where_the_libra.png,a red fire hydrant in front of a brick building .
Information_is_hard_to_find_on_this_place_but_ther.png,a train that is sitting on the tracks .
This_bar_is_located_on_the_second_floor_of_a_resta.png,a group of people sitting at a table in a restaurant .
Stafford_Hall___Outside_of_room_101_of_the_Staffor.png,a building with a clock on the top of it .
Located_on_the_far_edge_of_the_Westport_town_reser.png,a church with a clock tower on top of it .
Burnt_down_insane_asylum____Strange_feelings__weir.png,a room that has a bed in it
the_bridge_over_Little_Beaver_Creek__in_Lisbon_is.png,a train traveling over a bridge over a river .
Was_once_a_famous_nightclub_and_restaurant_in_the.png,a black and white photo of a city street .
High_School_Stage___At_the_Ozark_High_School__the.png,a sign that is on the side of a building .
On_K_Street__near_Barrio_Logan__Built_in_1887_for.png,a building with a clock on the side of it .
an_apparition_of_a_man_has_been_seen_walking_then.png,a black and white photo of a man in a suit
This_is_an_old_plantation_home__now_in_the_midst_o.png,a red fire hydrant in front of a brick building .
This_was_the_site_of_a_battle_between_the_Piqua_tr.png,a bench sitting in the middle of a forest .
A_series_of_dark_winding_roads_leading_to_unlit_ab.png,a red fire hydrant sitting in the middle of a forest .
footsteps_and_voices_are_observed_here_.png,a black and white photo of a clock tower .
There_have_been_sightings_of_a_little_boy_running.png,a black and white photo of a street sign
In_the_middle_of_the_U_shaped_parking_lot_in_front.png,a black and white photo of a kitchen
Ghostly_lights_and_apparitions_have_been_sighted_f.png,a close up of a mirror on a wall
There_is_a_story_of_a_mother_who_lost_her_baby_whi.png,a man sitting in a chair in a living room .
Reports_of_a_girl_died_here_and_it_s_uncertain_but.png,a black and white photo of an old building
There_are_adjoining_doors_to_the_now_empty_swimmin.png,a black and white photo of a room with a window
Reportedly__someone_witnessed_a_ghostly_birthday_p.png,a black and white photo of a kitchen .
People_who_have_lived_in_the_home_after_the_last_o.png,a group of people standing in front of a clock .
Hauntings_that_have_occurred_here_are_voices__ligh.png,a black and white photo of a building with a clock .
John_Monnasco_died_after_an_eighteen_wheeler_hit_h.png,a black and white photo of a building
The_Creek_behind_the_baby_zoo_at_the_Happy_hallow.png,a fire hydrant sitting in the middle of a forest .
Wilson_Hall___Reports_of_banging__cold_spots__bloo.png,a large building with a clock on the ceiling .
A_group_of_KKK_members_killed_many_people_in_the_c.png,a man and a woman standing next to each other .
Reports_of_fires_starting_by_themselves__A_tall_bl.png,a church with a steeple and a clock tower .
In_slavery_times__whites_went_to_church_here__The.png,a horse standing in front of a building .
the_McLoughlin_house_is_a_historical_house_turned.png,a building with a clock on top of it .
June_2008_Removed__No_Murder_has_happened_here__A.png,a house with a bench and a tree
on_an_old_country_road_just_outside_of_the_univers.png,an old black and white photo of a church
Several_students_setting_up_for_a_haunted_house_sp.png,a group of people sitting on a wooden bench .
While_working_on_the_third_floor_an_electrician_no.png,a black and white photo of a restaurant
A_long_time_ago_way_back_in_the_early_1800_s__a_yo.png,a park bench in the middle of a park .
Green_eyes_is_known_as_green_eyes_because_back_in.png,a wooden bench sitting in front of a window .
a_young_woman_walking_past_CJ_s_Provisions_in_the.png,a man and a woman are sitting on a bench .
An_old_Indian_summer_time_camp_and_burial_ground_.png,a tree in a park with a bench in the background .
There_is_a_ghost_of_a_jogger_who_was_killed_there_.png,a man is throwing a frisbee in a field
Reports_of_several_apparitions_including_a_couple.png,a building with a clock on the front of it .
Forks_of_Cypress_Plantation___This_is_where_the_in.png,a large building with a clock on it 's side .
This_is_on_the_Tigard_side_of_the_trail__just_off.png,a house that has a house in the background .
Shawnee_State_University___Massie_Hall___the_main.png,a building with a clock on the side of it
There_are_reports_of_being_touched_or_poked_when_n.png,a black and white photo of a building with a fire hydrant .
Near_the_Zaleski_CCC_Camp_is_an_old_railway_tunnel.png,a house with a barn and a house in the background .
Fine_Art_Center___Green_Room___where_the_girls_hav.png,a living room with a couch and a table
The_bridge_is_said_to_be_haunted_by_the_ghosts_of.png,a black and white photo of a train station .
If_you_drive_down_to_the_end_of_the_road_where_the.png,a red fire hydrant sitting in the middle of a field .
Rumors_of_a_strange__shadow__that_follows_people_u.png,a black and white photo of a man in a suit
Reports_of_orbs_and_an_apparition_of_a_man_with_a.png,a black and white photo of a wooden bench
a_ghost_named_Mr__Finch_haunts_the_building__he_li.png,a black and white photo of a man and a dog .
In_Mytrle_Hill_Cemetery_there_is_a_giant_granite_b.png,a group of people standing next to a wooden fence .
Things_bang_on_your_car__faces_and_hands_can_be_se.png,a man standing next to a parked motorcycle .
A_little_white_dear_can_be_seen_running_around_but.png,a white house with a house in the background .
Gibbs_Bridge___Revving_of_motorcycle__yelling__App.png,a black and white photo of a train on a bridge .
Morley_Music_Hall___It_is_said_that_Mrs__Morley_an.png,a room with a bed and a table
Earlier_in_this_century__the_Millfield_mine_in_Sou.png,a black and white photo of a building with a clock tower .
A_little_boy_is_said_to_have_committed_suicide_in.png,a black and white photo of a man sitting on a bench .
Haunted_by_Indian_looking_to_kill_his_next_victim_.png,a large building with a large clock tower .
This_school_is_known_to_be_haunted__Many_students.png,a building with a clock tower in the background .
Washington_hall___there_was_a_girls_basketball_tea.png,a black and white photo of a train station .
just_north_of_the_city_of_San_Diego_is_a_Normandy_.png,an old black and white photo of a barn
strange_noises_and_large_white_silloettes_have_bee.png,a building with a clock on the top of it .
it_is_supposedly_haunted_by_a_man_that_likes_to_ju.png,a building with a clock on the top of it .
When_you_go_on_Shawnee_Island_there_is_a_church_on.png,an old rusted out house sitting in the middle of a field .
Tunnel_is_located_in_the_middle_of_the_woods__On_s.png,a black and white photo of a brick building
A_ghost_wearing_a_long_white_nightgown_makes_her_a.png,a black and white photo of a large clock .
Located_2_blocks_from_Holicong_Road___An_old_man_i.png,a tall building with a clock on it .
A_tall_shadow_person_was_reportedly_sighted_in_low.png,a black and white photo of a man in a suit .
While_driving_on_the_desert_roads_at_the_base_of_t.png,a horse standing in front of a building .
Currently_a_Historic_House_Museum__This_Victorian.png,a living room with a fireplace and a fire place .
you_will_here_loud_music_that_only_a_few_people_ca.png,a wooden bench sitting in front of a building .
Students_hear_bangs_and_see_knobs_turning_in_the_l.png,a group of people standing next to each other .
The_story_about_Riders_Inn_is_that_there_is_a_ghos.png,a black and white photo of people in a market .
The_doors_of_the_stairwell_that_links_the_Upstairs.png,a black and white photo of a black and white photo
Burger_King___A_gunman_walked_in_during_a_busy_lun.png,a parking meter with a sign on it .
Reported_by_residents_and_staff_of_a_little_girl_i.png,an old church with a large clock tower in the background .
This_place_was_bombed_in_1995_Parents_of_children.png,a group of people standing next to a building .
In_the_old_section_of_the_Hotel_there_are_ghosts_w.png,a black and white photo of a brick building
There_is_an_underground_area_in_the_downtown_red_l.png,a black and white photo of a train station .
There_are_railroads_by_the_church_and_long_ago_a_m.png,a train traveling down train tracks next to a forest .
830_Murray___It_is_said_that_two_brothers_owned_th.png,a building with a clock on the top of it .
Trumbull_County_Campus___Theater____A_witness_repo.png,a clock tower in the middle of a park .
there_s_a_door_in_the_girls_locker_room_that_leads.png,a red door with a cat sitting on top of it .
It_has_been_said_that_a_woman_and_two_children_hau.png,a man standing in front of a doorway .
built_in_the_mid_1800__The_town_was_once_the_stop.png,a building with a clock on the front of it .
In_1969_a_young_couple_in_their_senior_year_of_hig.png,a black and white photo of a man in a suit
ghosts_including_a_tall_black_figure__Madame_Lalau.png,a black and white photo of a building with a clock tower .
orbs_are_seen_and_photographed__this_is_an_ancient.png,a black and white photo of a man and a dog
New_Castle_House___On_New_Castle_Road_in_Gardendal.png,a church with a steeple and a clock tower .
Haunted_by_the_pilots_of_the_old_planes__Security.png,a black and white photo of a man holding a skateboard .
Supposedly__3_or_4_workers_plowing_out_the_area_fo.png,a black and white photo of a train station
This_restaurant_has_an_interesting_history__Origin.png,a group of people standing in front of a building .
Slaughterhouse__Fair_warning___no_trespassing_you.png,a man standing on a sidewalk next to a building .
They_say_a_ghost_of_an_old_woman_haunts_the_baseme.png,a black and white photo of a train station .
Established_in_the_late_1800_s_in_the_French_port.png,a house that has a clock on it .
Two_people_have_committed_suicide_of_the_Hollywood.png,a black and white photo of a man sitting on a bench .
When_you_stop_on_the_bridge_and_turn_your_lights_o.png,a black and white photo of a train on a bridge
In_the_back_woods_off_of_Grahm_Hill_Rd__Very_creep.png,a black and white photo of a tree in a park .
Once_an_old_prison__the_Reformatory_has_been_turne.png,a black and white photo of a bathroom
The_ghost_will_always_appear_on_Halloween_night__A.png,a man is standing in front of a door .
a_car_crash_here_in_1983_killed_a_man_and_woman_an.png,a car is parked on the side of the road .
There_have_been_reports_of_many_sightings_there_fr.png,a building with a clock on the side of it .
A_mother_and_a_newborn_were_crossing_a_bridge_on_a.png,a group of young children sitting on a bench .
Reported_noises_and_movement_at_night_in_the_field.png,"a room with a bed , a table and a window ."
Old_cemetery_has_a_large_monument_that_has_a_green.png,a red fire hydrant sitting in the middle of a field .
located_on_the_outskirts_of_St__Bernard_it_has_a_n.png,a house with a wooden fence in the middle of it .
Generals_of_the_Civil_War_are_seen_in_one_room_pla.png,a group of men standing next to each other .
Outside_of_Wilmington__Ohio_on_Haw_Chapel_Road_a_s.png,a house that has a house in the background .
The_ghost_is_a_former_actress_from_the_20_s__After.png,a man standing in front of a door holding a skateboard .
The_upstairs_sports_den_and_Canyon_room_are_rumore.png,a train that is sitting on the tracks .
when_it_s_quiet_enough_or_not_too_many_people_you.png,a black and white photo of a building with a clock tower .
at_the_end_of_Shelton_park_late_at_night_you_can_h.png,a park bench in front of a house .
This_motel_was_once_a_hospital_insane_asylum__It_h.png,a group of people standing outside of a building .
During_the_Civil_War__one_of_the_soldiers_left_the.png,a black and white photo of a old building
You_must_go_up_the_hill_to_the_top__Typically_if_y.png,a black and white photo of a building with a clock tower .
Legend_has_it_that_years_ago__when_the_house_was_o.png,a church with a steeple and a clock .
Train_Caboose_1869____This_is_a_red_caboose_locate.png,a red train car sitting on the side of a road .
Several_employees_have_spotted_figures_standing_in.png,a black and white photo of a building with a fire hydrant .
In_the_1970_s_the_wall_of_the_basement_of_the_ceme.png,a black and white photo of a person on a laptop .
There_are_reports_of_a_ghost_of_an_angry_mountain.png,a house with a bench and a tree
The_Columbian_House_Restaurant___It_is_haunted_by.png,"a restaurant with tables , chairs , and tables ."
It_is_a_house_that_was_owned_Sarah_Winchester__It.png,a house that is sitting in the grass .
Workers_hear_a_young_girl_bouncing_a_ball__she_was.png,a black and white photo of a man and a horse
Many_freaky_myths_in_the_high_desert_of_ghosts_wal.png,a man is walking down the street with a suitcase .
The_interior_of_the_school_burned_down_years_ago_.png,a room that has a table and chairs in it
It_is_an_old_abandoned_mental_institution__Witness.png,a room with a bed and a window
There_is_a_man_who_sings_to_Frank_Sinatra_songs_wa.png,a black and white photo of a man in a suit
Has_been_removed__No_Trespassing.png,a church with a clock on the side of it .
Black_Lake__Reports_of_an_Old_Spanish_lady_in_a_Bl.png,a black and white photo of a lake
Built_in_the_1920s__the_hotel_is_haunted_by_Leone.png,a large building with a clock on the front .
The_former_principal_and_founder_of_the_school__Op.png,a man and a woman standing next to each other .
Employees_have_felt_uneasy_around_the_bottom_floor.png,a man standing next to a fire hydrant .
This_location_was_once_a_booming_hotel__but_was_tu.png,a red fire hydrant sitting in front of a building .
There_is_a_tale_of_an_old_Indian_ghost_that_has_be.png,a black and white photo of a man sitting on a bench .
the_ghost_of_Grace_Bird_Kelton_is_seen_in_this_hou.png,a black and white photo of a man in a suit
The_hospital_is_belived_to_be_built_over_a_grave_y.png,a room filled with lots of wooden furniture .
There_said_to_be_a_ghost_that_haunts_the_park_at_n.png,a black and white photo of a kitchen
