GeoTopic Name,City,State,Description
Kentucky,Lemongrove,California,"After an employee named Rudy died during his shift, strange things started happening are security backdoor would open by itself after closing. Feeling of not being alone. Dishes being cleaned when no one was around. Other reports such as flickering lights, cold spots, and items disappearing then reappearing somewhere else."
Kentucky,Bowling Green,Kentucky,"Academic Complex - The Academic Complex used to be an old hospital and now houses several classrooms, medical facilities and the campuses TV and Radio stations. There have been DJs working for the Radio station that have heard things in the night, seen people out of the corner of their eyes. One night two DJs were talking about haunted places in the area and their CD player started to move about, opening and closing and rattling. Its been rumored that in the old hospital days, people had died in some of the classrooms and in a radio station studio. - February 2004 Update: It is said this is a rumor started by upper classmen to scare newcomers."
Kentucky,Bowling Green,Kentucky,"Barnes-Campbell Hall - showers have been reported turning on and off by themselves, and chairs crashing against walls. A young man fell to his death down the dorms elevator shaft."
Kentucky,Bowling Green,Kentucky,Helm Library - is known to be haunted by a student who fell to his death from the ninth floor when trying to open a window.
Kentucky,Bowling Green,Kentucky,The Kentucky Museum - Located on campus is haunted by an unknown male.
Jadder Cemetery,Malden,Massachusetts,Holy Cross Cemetery - when driving down Cemetery road a woman in white can be seen walking or crossing the road. It is said she died in a car crash on her wedding night and she’s looking for her husband
Jadder Cemetery,Lancaster,California,You can see a little girl dressed in old fashioned cloths looking at you if you walk through the cemetery at night.
Jadder Cemetery,Castalia,Ohio,"when your driving through the cemetery at night, your car stalls and you hear a yelling noise from the center of the cemetery. It’s said if you see smoke from the center of the cemetery after the yelling/screaming noises, you will see your own gravestone on the way out."
Jadder Cemetery,Fort Bridger,Wyoming,There is an old phantom that roams the graves.
Jadder Cemetery,East Otto,New York,"at night if you go there you will see two headless women running away from this man with an axe, they scream as this man is chasing them, and your car will shake, and your horn will beep all by itself, it is very scary, just get out of there as soon as you can!!"
Main Street City Park,Strasburg,Pennsylvania,Carriage said to contain the soldiers returning home on leave during the Civil War is sometimes seen traveling through town.
Main Street City Park,Wareham,Massachusetts,Several homes along this street have long histories of haunting activity . One house called Fearing Tavern in particular Things like objects moving.
Main Street City Park,Placerville,California,"The ghost of claim jumpers and outlaws, many sentenced to hang from an old oak tree here are said to harass patrons and employees of this small restaurant. Several drivers have reported seeing the apparitions while passing by in their automobiles. 305 Main Street"
Main Street City Park,Ellicott City,Maryland,Historic District -  There is a bar called the Judge's Bench and the third floor is haunted by a young woman who hung herself there.
Main Street City Park,Ellicott City,Maryland,The old firehouse -  is said to be haunted by a few of the old firemen Its said that doors slam and one of the ghost has been seen its also been said to hear footsteps.
Fort Bend County,Mackinac Island,Michigan,"has its own ghosts. The children of the post commander are supposed to haunt the officers hill quarters. The hospitals near and in the fort are undoubtedly haunted and are surrounded by an air of sickness to this day. A skeleton was found in the ""Black Hole"" of the guardhouse and now people get the usual chills along their spines in the reconstructed guardhouse. There is supposedly a phantom piper that walks on the stonework above the North Sally Port. He is only sighted on misty mornings and his music can be heard faintly."
Fort Bend County,Pittsburgh,Pennsylvania,The Battle of Grant's Hill was fought at this location during the French & Indian War in 1758.Security Guards have seen people on the monitors that were not there. Objects have disappeared from the museum. Strange sounds have been heard from empty parts of the museum. A re-enactor was murdered there during the early 1970's.
Fort Bend County,Baltimore,Maryland,"The Fort was used throughout history in guarding Baltimore Maryland. Many stories of ghosts and ghostly activity include: a shadowy figure marching along the parapets, an evil spirit in the hallway leading to the bathrooms, floating or moving furniture, tour guides during the Ghost Tour being surrounded in unearthly light, and voices heard by employees after the Fort has been closed to visitors. The stories are well known by local residents and many people who worked at the Fort or visited it can attest to these occurrences."
Fort Bend County,Baltimore County,Maryland,"White and green abandoned house covered with weeds and vines. Its up by Fort Howard. Its been abandoned since 1988 and it looks like there was a fire upstairs.. You have to go in through an alley like driveway and through the garage to the back door to get in. There’s a small room in one of the rooms upstairs. There is a huge hole in he wall where it looks like someone was thrown through the wall. Negative energy is felt here, believed to be from a murder of a man and a rape of a girl."
Fort Bend County,East Brewton,Alabama,"If you go in the cemetery at night at around 11:00PM - 12:00PM, you can sometimes hear children laughing and see a shadowy black figure roaming the cemetery. In the park, from around midnight to 3AM, you can see a confederate solider walking around. If you stay long enough, he will ask you if you have seen his gun."
Wal-Mart SuperCenter Store,Fremont,Michigan,The ghost of a man has been known to play tricks on associates. Knocking things over and making noises. Especially upstairs in the layaway packaging dept. The associates who have worked there for years swear they have seen him or have been witness to his mischievousness. Also complaints of feeling watched and chills.
Wal-Mart SuperCenter Store,Roseville,Michigan,It was said that a young girl was killed in the back of the store. Some nights around midnight it is said that people here a rusty old shopping cart being pushed around and when they look nothing is there.
Wal-Mart SuperCenter Store,Glendora,California,"This Wal-Mart is said to be built on an Indian burial ground, and the story appeared in the local newspaper. An employees working in the garden center heard the door alarm went off about ten times and felt cold gusts of air through the room. There were only three workers there with the doors closed and all of them experienced the same thing at the same time."
Wal-Mart SuperCenter Store,La Quinta,California,Employees claim to hear a little girls laughter late at night when the stores closed and they've also heard toys falling off the shelves.
Wal-Mart SuperCenter Store,Winchester,Kentucky,In 2003 there has been a suicide and a murder there. the suicide was a man that walked into an isle and shot himself. rumor is if you go to that isle you'll feel a cold wind rush past you and get the sense some one is behind you. a man shot his daughter in front of the store's doors for going with another man. rumor for that is at night you can hear someone running and screaming inside or in front of the store as if in need of help.
Salt Lake City,Forester,Michigan,"A young girl named Minnie Quay is said to haunt the shores of this lake. When Minnie was around 15 years of age, she fell in love with a sailor. Unfortunately, Minnie's parents disapproved and would not let her see him. The sailor later died at sea. Minnie was so upset upon hearing of his death that she dressed herself in all white and jumped off the pier into the cold waters of Lake Huron. Her body is buried in the nearby cemetery. People have claimed to see her ghost walking the beach, crying for her lost love."
Salt Lake City,Thunder Bay Island,Michigan,"this uninhabited island on Lake Huron is haunted by a lighthouse keeper named Morgan. It is not known how or why his spirit dwells the lighthouse and island, but those who pass by the island claim to see and feel his presence walking the shoreline."
Salt Lake City,Walled Lake,Michigan,"The shoe tree (previously mentioned in Salem) was on Thirteen Mile Rd. in Novi a quarter mile from Walled Lake, and from the site of the old Walled Lake amusement park. A child killer (the infamous Walled Lake Child Killer) kidnapped the children from the park, and buried their bodies in the nearby field around the tree. He threw their shoes into the tree. When the many dangling shoes were investigated, the bodies were found (but, the killer never was). If you went to the field at night, you could see and hear the clumps of tall grass moving around you, and you could hear the children cry for their mothers! Witnesses report very distinct, audible cries. The cries were not distant but, from just a few feet away. As you walked to where the cries came from, they seemed to move around. Not moving farther away, just around, sometimes back to where you were just standing. Just walking by the field would make your hair stand on end. The land was developed within the past couple of years. A subdivision now stands on this land. But, the field was on the south side of Thirteen Mile Rd., between Meadowbrook Rd., and Decker. The amusement park was later closed down. Not because of the murders but, because it rested on an old Indian burial ground (many in the area). It was where Novi Rd., 13 Mile Rd., and Southlake Dr. all meet, right on the lake."
Salt Lake City,Ajo,Arizona,"In the 1950's, a couple was married in Ajo and was driving to Lake Tahoe for their honeymoon. Around midnight, they entered into crater range, which was lined with hills and huge rocks on both sides. Their car crashed into a rock and they were both killed. It is said that if you drive through crater range after midnight you can see their car and the couple off to the side of the road, trying to flag down help."
Salt Lake City,Marshall,Alabama,"Graveyard - A town once buried by Lake Guntersville, it has only left its mark with a Civil War era graveyard. This was a place where séances were once popular. Day or night there is a constant fog that covers the ground that surrounds the gravestones. Not an easy place to find unless you live in the area, but nonetheless SCARY!!!!!"
Salem,Salem,Oregon,"The footlocker in Salem center, used to be a parking lot where a little girl was killed, and now employees say that they have heard and seen her ghost back in the shoe room."
Salem,Wellston,Ohio,"several reports of seeing apparitions in the dark, noises and moved headstones were reported."
Salem,Quinton/Bridgeton,New Jersey,"The true story of Berry’s' Chapel is, Berry was a black pastor hung by the KKK. The chapel was built back in the Civil war days. It burned down in the early sixties. The grave yard was starting to get desecrated from local kids parting in the area, and skulls started appearing in trees by the main party spot.. It was then the county moved all the bodies to the graveyard surrounding the ancient oak tree near the Salem City public library. The area is blocked off now and you can't drive back there. The Chapel was just in the paper again this week (05-27-02) as they were again cleaning up the area from those lame people who feel they have to dump all their trash back there. What was always odd is how nothing would ever grow on Berry’s' grave. No grass, no weeds, no bushes, nothing."
Salem,Winston,North Carolina,"Brookstown Inn Hotel - In several rooms of the inn, guests over the past 25 years have reported being awakened to a mischievous female voice either repeating their names, or saying ""Mercy...Mercy...Mercy..."""
Salem,Winston,North Carolina,"Salem College for Women - Clewell Dorm -  Clewell Dorm has the ghost of a young girl child that fell down the, now boarded up, elevator shaft. Strong friendship room in Strong dorm has a spirit in it who likes to ""uncover"" people while they are sleeping."
